day,season,weekday,workingday,weathersit,temp,windspeed,casual,registered,cnt,year
436,1,0,0,1,0.361739,0.222587,1658,3253,4911,
437,1,1,1,1,0.466667,0.207713,838,4460,5298,
438,1,2,1,1,0.565,0.23695,762,5085,5847,
439,1,3,1,1,0.5725,0.115062,997,5315,6312,
440,1,4,1,1,0.5575,0.149883,1005,5187,6192,
441,1,5,1,2,0.435833,0.113192,548,3830,4378,
442,1,6,0,2,0.514167,0.110704,3155,4681,7836,
443,1,0,0,2,0.4725,0.126883,2207,3685,5892,
444,1,1,1,1,0.545,0.162317,982,5171,6153,
445,1,2,1,1,0.560833,0.121271,1051,5042,6093,
446,2,3,1,2,0.531667,0.0895583,1122,5108,6230,
447,2,4,1,1,0.554167,0.117562,1334,5537,6871,
448,2,5,1,2,0.601667,0.1163,2469,5893,8362,
449,2,6,0,2,0.5025,0.192783,1033,2339,3372,
450,2,0,0,2,0.4375,0.220775,1532,3464,4996,
451,2,1,1,1,0.445833,0.386821,795,4763,5558,
452,2,2,1,1,0.323333,0.187192,531,4571,5102,
453,2,3,1,1,0.484167,0.291671,674,5024,5698,
454,2,4,1,1,0.494167,0.31965,834,5299,6133,
455,2,5,1,2,0.37,0.138067,796,4663,5459,
456,2,6,0,2,0.424167,0.250617,2301,3934,6235,
457,2,0,0,2,0.425833,0.172267,2347,3694,6041,
458,2,1,1,1,0.433913,0.312139,1208,4728,5936,
459,2,2,1,1,0.466667,0.100133,1348,5424,6772,
460,2,3,1,1,0.541667,0.180975,1058,5378,6436,
461,2,4,1,1,0.435,0.219529,1192,5265,6457,
462,2,5,1,1,0.403333,0.300388,1807,4653,6460,
463,2,6,0,1,0.4375,0.274871,3252,3605,6857,
464,2,0,0,1,0.5,0.232596,2230,2939,5169,
465,2,1,1,1,0.489167,0.358196,905,4680,5585,
466,2,2,1,1,0.446667,0.249375,819,5099,5918,
467,2,3,1,1,0.348696,0.295274,482,4380,4862,
468,2,4,1,1,0.3975,0.290429,663,4746,5409,
469,2,5,1,1,0.4425,0.155471,1252,5146,6398,
470,2,6,0,1,0.495,0.190917,2795,4665,7460,
471,2,0,0,1,0.606667,0.225129,2846,4286,7132,
472,2,1,0,1,0.664167,0.284829,1198,5172,6370,
473,2,2,1,1,0.608333,0.273629,989,5702,6691,
474,2,3,1,2,0.463333,0.167912,347,4020,4367,
475,2,4,1,1,0.498333,0.0659292,846,5719,6565,
476,2,5,1,1,0.526667,0.149871,1340,5950,7290,
477,2,6,0,1,0.57,0.283587,2541,4083,6624,
478,2,0,0,3,0.396667,0.344546,120,907,1027,
479,2,1,1,2,0.321667,0.303496,195,3019,3214,
480,2,2,1,1,0.413333,0.249383,518,5115,5633,
481,2,3,1,1,0.476667,0.118792,655,5541,6196,
482,2,4,1,2,0.498333,0.176625,475,4551,5026,
483,2,5,1,1,0.4575,0.347633,1014,5219,6233,
484,2,6,0,2,0.376667,0.129975,1120,3100,4220,
485,2,0,0,1,0.458333,0.116908,2229,4075,6304,
486,2,1,1,2,0.464167,0.171638,665,4907,5572,
487,2,2,1,2,0.613333,0.156096,653,5087,5740,
488,2,3,1,1,0.564167,0.138058,667,5502,6169,
489,2,4,1,2,0.56,0.133696,764,5657,6421,
490,2,5,1,1,0.6275,0.162938,1069,5227,6296,
491,2,6,0,2,0.621667,0.152992,2496,4387,6883,
492,2,0,0,2,0.5625,0.149879,2135,4224,6359,
493,2,1,1,2,0.5375,0.230721,1008,5265,6273,
494,2,2,1,2,0.581667,0.296029,738,4990,5728,
495,2,3,1,2,0.575,0.216412,620,4097,4717,
496,2,4,1,1,0.505833,0.314063,1026,5546,6572,
497,2,5,1,1,0.533333,0.236937,1319,5711,7030,
498,2,6,0,1,0.564167,0.123133,2622,4807,7429,
499,2,0,0,1,0.6125,0.225117,2172,3946,6118,
500,2,1,1,2,0.573333,0.212692,342,2501,2843,
501,2,2,1,2,0.611667,0.147392,625,4490,5115,
502,2,3,1,1,0.636667,0.122512,991,6433,7424,
503,2,4,1,1,0.593333,0.229475,1242,6142,7384,
504,2,5,1,1,0.564167,0.136817,1521,6118,7639,
505,2,6,0,1,0.6,0.083975,3410,4884,8294,
506,2,0,0,1,0.620833,0.254367,2704,4425,7129,
507,2,1,1,2,0.598333,0.233204,630,3729,4359,
508,2,2,1,2,0.615,0.118167,819,5254,6073,
509,2,3,1,2,0.621667,0.102,766,4494,5260,
510,2,4,1,1,0.655,0.172896,1059,5711,6770,
511,2,5,1,1,0.68,0.14055,1417,5317,6734,
512,2,6,0,1,0.6925,0.198992,2855,3681,6536,
513,2,0,0,1,0.69,0.215171,3283,3308,6591,
514,2,1,0,1,0.7125,0.196521,2557,3486,6043,
515,2,2,1,1,0.7225,0.2954,880,4863,5743,
516,2,3,1,2,0.656667,0.134329,745,6110,6855,
517,2,4,1,1,0.68,0.195279,1100,6238,7338,
518,2,5,1,2,0.654167,0.237563,533,3594,4127,
519,2,6,0,1,0.583333,0.186562,2795,5325,8120,
520,2,0,0,1,0.6025,0.184087,2494,5147,7641,
521,2,1,1,1,0.5975,0.284833,1071,5927,6998,
522,2,2,1,2,0.540833,0.209575,968,6033,7001,
523,2,3,1,1,0.554167,0.077125,1027,6028,7055,
524,2,4,1,1,0.6025,0.15735,1038,6456,7494,
525,2,5,1,1,0.649167,0.175383,1488,6248,7736,
526,2,6,0,1,0.710833,0.144287,2708,4790,7498,
527,2,0,0,1,0.726667,0.133721,2224,4374,6598,
528,2,1,1,2,0.720833,0.207713,1017,5647,6664,
529,2,2,1,2,0.653333,0.214546,477,4495,4972,
530,2,3,1,1,0.655833,0.343279,1173,6248,7421,
531,2,4,1,1,0.648333,0.253733,1180,6183,7363,
532,2,5,1,1,0.639167,0.176617,1563,6102,7665,
533,2,6,0,1,0.631667,0.166667,2963,4739,7702,
534,2,0,0,1,0.5925,0.144904,2634,4344,6978,
535,2,1,1,2,0.568333,0.174746,653,4446,5099,
536,2,2,1,1,0.688333,0.148017,968,5857,6825,
537,2,3,1,1,0.7825,0.113812,872,5339,6211,
538,3,4,1,1,0.805833,0.118787,778,5127,5905,
539,3,5,1,1,0.7775,0.182842,964,4859,5823,
540,3,6,0,1,0.731667,0.179721,2657,4801,7458,
541,3,0,0,1,0.743333,0.145525,2551,4340,6891,
542,3,1,1,1,0.715833,0.300383,1139,5640,6779,
543,3,2,1,1,0.630833,0.347642,1077,6365,7442,
544,3,3,1,1,0.6975,0.271775,1077,6258,7335,
545,3,4,1,1,0.749167,0.17165,921,5958,6879,
546,3,5,1,1,0.834167,0.165417,829,4634,5463,
547,3,6,0,1,0.765,0.161071,1455,4232,5687,
548,3,0,0,1,0.815833,0.168529,1421,4110,5531,
549,3,1,1,1,0.781667,0.195267,904,5323,6227,
550,3,2,1,1,0.780833,0.126237,1052,5608,6660,
551,3,3,0,1,0.789167,0.13495,2562,4841,7403,
552,3,4,1,1,0.8275,0.194029,1405,4836,6241,
553,3,5,1,1,0.828333,0.146142,1366,4841,6207,
554,3,6,0,1,0.861667,0.163554,1448,3392,4840,
555,3,0,0,1,0.8225,0.125629,1203,3469,4672,
556,3,1,1,2,0.710833,0.180975,998,5571,6569,
557,3,2,1,2,0.720833,0.151737,954,5336,6290,
558,3,3,1,1,0.716667,0.151733,975,6289,7264,
559,3,4,1,1,0.715833,0.146775,1032,6414,7446,
560,3,5,1,2,0.731667,0.08085,1511,5988,7499,
561,3,6,0,2,0.703333,0.143679,2355,4614,6969,
562,3,0,0,1,0.745833,0.166667,1920,4111,6031,
563,3,1,1,1,0.763333,0.164187,1088,5742,6830,
564,3,2,1,1,0.818333,0.114429,921,5865,6786,
565,3,3,1,1,0.793333,0.137442,799,4914,5713,
566,3,4,1,1,0.77,0.165429,888,5703,6591,
567,3,5,1,2,0.665833,0.208967,747,5123,5870,
568,3,6,0,3,0.595833,0.2133,1264,3195,4459,
569,3,0,0,2,0.6675,0.0939208,2544,4866,7410,
570,3,1,1,1,0.741667,0.138683,1135,5831,6966,
571,3,2,1,1,0.750833,0.211454,1140,6452,7592,
572,3,3,1,1,0.724167,0.1648,1383,6790,8173,
573,3,4,1,1,0.776667,0.284813,1036,5825,6861,
574,3,5,1,1,0.781667,0.152992,1259,5645,6904,
575,3,6,0,1,0.755833,0.15735,2234,4451,6685,
576,3,0,0,1,0.721667,0.170396,2153,4444,6597,
577,3,1,1,1,0.730833,0.153617,1040,6065,7105,
578,3,2,1,1,0.713333,0.165425,968,6248,7216,
579,3,3,1,1,0.7175,0.141179,1074,6506,7580,
580,3,4,1,1,0.7525,0.129354,983,6278,7261,
581,3,5,1,2,0.765833,0.215792,1328,5847,7175,
582,3,6,0,1,0.793333,0.257458,2345,4479,6824,
583,3,0,0,1,0.769167,0.290421,1707,3757,5464,
584,3,1,1,2,0.7525,0.129354,1233,5780,7013,
585,3,2,1,2,0.735833,0.116908,1278,5995,7273,
586,3,3,1,2,0.75,0.1107,1263,6271,7534,
587,3,4,1,1,0.755833,0.1561,1196,6090,7286,
588,3,5,1,2,0.715833,0.238813,1065,4721,5786,
589,3,6,0,2,0.6925,0.206479,2247,4052,6299,
590,3,0,0,1,0.700833,0.122512,2182,4362,6544,
591,3,1,1,1,0.720833,0.136212,1207,5676,6883,
592,3,2,1,1,0.726667,0.169158,1128,5656,6784,
593,3,3,1,1,0.706667,0.169771,1198,6149,7347,
594,3,4,1,1,0.719167,0.141796,1338,6267,7605,
595,3,5,1,1,0.723333,0.231354,1483,5665,7148,
596,3,6,0,1,0.678333,0.177867,2827,5038,7865,
597,3,0,0,2,0.635833,0.08645,1208,3341,4549,
598,3,1,1,2,0.635833,0.129979,1026,5504,6530,
599,3,2,1,1,0.649167,0.0727708,1081,5925,7006,
600,3,3,1,1,0.6675,0.0702833,1094,6281,7375,
601,3,4,1,1,0.695833,0.0845958,1363,6402,7765,
602,3,5,1,2,0.7025,0.0721458,1325,6257,7582,
603,3,6,0,2,0.661667,0.244408,1829,4224,6053,
604,3,0,0,2,0.653333,0.228858,1483,3772,5255,
605,3,1,1,1,0.703333,0.128733,989,5928,6917,
606,3,2,1,1,0.728333,0.190925,935,6105,7040,
607,3,3,1,1,0.685,0.112562,1177,6520,7697,
608,3,4,1,1,0.706667,0.0771167,1172,6541,7713,
609,3,5,1,1,0.764167,0.168533,1433,5917,7350,
610,3,6,0,2,0.753333,0.113187,2352,3788,6140,
611,3,0,0,2,0.696667,0.0640708,2613,3197,5810,
612,3,1,0,1,0.7075,0.151121,1965,4069,6034,
613,3,2,1,1,0.725833,0.236321,867,5997,6864,
614,3,3,1,1,0.736667,0.187808,832,6280,7112,
615,3,4,1,2,0.696667,0.142421,611,5592,6203,
616,3,5,1,1,0.703333,0.171646,1045,6459,7504,
617,3,6,0,2,0.659167,0.281104,1557,4419,5976,
618,3,0,0,1,0.61,0.224496,2570,5657,8227,
619,3,1,1,1,0.583333,0.258713,1118,6407,7525,
620,3,2,1,1,0.5775,0.0920542,1070,6697,7767,
621,3,3,1,1,0.599167,0.131846,1050,6820,7870,
622,3,4,1,1,0.6125,0.0827208,1054,6750,7804,
623,3,5,1,1,0.633333,0.103863,1379,6630,8009,
624,3,6,0,1,0.608333,0.247521,3160,5554,8714,
625,3,0,0,1,0.58,0.0901833,2166,5167,7333,
626,3,1,1,2,0.580833,0.151742,1022,5847,6869,
627,3,2,1,2,0.623333,0.357587,371,3702,4073,
628,3,3,1,1,0.5525,0.215175,788,6803,7591,
629,3,4,1,1,0.546667,0.118167,939,6781,7720,
630,3,5,1,1,0.599167,0.154229,1250,6917,8167,
631,3,6,0,1,0.65,0.283583,2512,5883,8395,
632,4,0,0,1,0.529167,0.223258,2454,5453,7907,
633,4,1,1,1,0.514167,0.142404,1001,6435,7436,
634,4,2,1,1,0.55,0.236321,845,6693,7538,
635,4,3,1,1,0.635,0.2444,787,6946,7733,
636,4,4,1,2,0.65,0.134342,751,6642,7393,
637,4,5,1,2,0.619167,0.164179,1045,6370,7415,
638,4,6,0,1,0.5425,0.227604,2589,5966,8555,
639,4,0,0,1,0.526667,0.134958,2015,4874,6889,
640,4,1,1,2,0.520833,0.0908042,763,6015,6778,
641,4,2,1,3,0.590833,0.104475,315,4324,4639,
642,4,3,1,2,0.6575,0.0665458,728,6844,7572,
643,4,4,1,2,0.6575,0.117546,891,6437,7328,
644,4,5,1,1,0.615,0.10635,1516,6640,8156,
645,4,6,0,1,0.554167,0.268025,3031,4934,7965,
646,4,0,0,2,0.415833,0.141162,781,2729,3510,
647,4,1,0,2,0.383333,0.189679,874,4604,5478,
648,4,2,1,2,0.446667,0.1903,601,5791,6392,
649,4,3,1,1,0.514167,0.187821,780,6911,7691,
650,4,4,1,1,0.435,0.181596,834,6736,7570,
651,4,5,1,1,0.4375,0.235092,1060,6222,7282,
652,4,6,0,1,0.393333,0.146142,2252,4857,7109,
653,4,0,0,1,0.521667,0.278612,2080,4559,6639,
654,4,1,1,2,0.561667,0.296037,760,5115,5875,
655,4,2,1,1,0.468333,0.182221,922,6612,7534,
656,4,3,1,1,0.455833,0.101371,979,6482,7461,
657,4,4,1,2,0.5225,0.236937,1008,6501,7509,
658,4,5,1,2,0.563333,0.134954,753,4671,5424,
659,4,6,0,1,0.484167,0.117537,2806,5284,8090,
660,4,0,0,1,0.464167,0.166054,2132,4692,6824,
661,4,1,1,1,0.4875,0.0814833,830,6228,7058,
662,4,2,1,1,0.544167,0.0945458,841,6625,7466,
663,4,3,1,1,0.5875,0.0727792,795,6898,7693,
664,4,4,1,2,0.55,0.124375,875,6484,7359,
665,4,5,1,2,0.545833,0.132467,1182,6262,7444,
666,4,6,0,2,0.53,0.235692,2643,5209,7852,
667,4,0,0,2,0.4775,0.398008,998,3461,4459,
668,4,1,1,3,0.44,0.3582,2,20,22,
669,4,2,1,2,0.318182,0.213009,87,1009,1096,
670,4,3,1,2,0.3575,0.166667,419,5147,5566,
671,4,4,1,2,0.365833,0.157346,466,5520,5986,
672,4,5,1,1,0.355,0.266175,618,5229,5847,
673,4,6,0,2,0.343333,0.270529,1029,4109,5138,
674,4,0,0,1,0.325833,0.179108,1201,3906,5107,
675,4,1,1,1,0.319167,0.236325,378,4881,5259,
676,4,2,1,1,0.280833,0.173513,466,5220,5686,
677,4,3,1,2,0.295833,0.304108,326,4709,5035,
678,4,4,1,1,0.352174,0.347835,340,4975,5315,
679,4,5,1,1,0.361667,0.214558,709,5283,5992,
680,4,6,0,1,0.389167,0.0578458,2090,4446,6536,
681,4,0,0,1,0.420833,0.1275,2290,4562,6852,
682,4,1,0,1,0.485,0.173517,1097,5172,6269,
683,4,2,1,2,0.343333,0.342046,327,3767,4094,
684,4,3,1,1,0.289167,0.199625,373,5122,5495,
685,4,4,1,2,0.321667,0.152987,320,5125,5445,
686,4,5,1,1,0.345,0.171025,484,5214,5698,
687,4,6,0,1,0.325,0.179729,1313,4316,5629,
688,4,0,0,1,0.3425,0.227612,922,3747,4669,
689,4,1,1,2,0.380833,0.235067,449,5050,5499,
690,4,2,1,2,0.374167,0.082725,534,5100,5634,
691,4,3,1,1,0.353333,0.103246,615,4531,5146,
692,4,4,0,1,0.34,0.0528708,955,1470,2425,
693,4,5,1,1,0.368333,0.148021,1603,2307,3910,
694,4,6,0,1,0.278333,0.376871,532,1745,2277,
695,4,0,0,1,0.245833,0.1505,309,2115,2424,
696,4,1,1,1,0.313333,0.04665,337,4750,5087,
697,4,2,1,2,0.291667,0.237562,123,3836,3959,
698,4,3,1,1,0.296667,0.210821,198,5062,5260,
699,4,4,1,1,0.28087,0.115522,243,5080,5323,
700,4,5,1,1,0.298333,0.0584708,362,5306,5668,
701,4,6,0,2,0.298333,0.0597042,951,4240,5191,
702,4,0,0,2,0.3475,0.124379,892,3757,4649,
703,4,1,1,1,0.4525,0.0827208,555,5679,6234,
704,4,2,1,1,0.475833,0.174129,551,6055,6606,
705,4,3,1,1,0.438333,0.324021,331,5398,5729,
706,4,4,1,1,0.255833,0.174754,340,5035,5375,
707,4,5,1,2,0.320833,0.1306,349,4659,5008,
708,4,6,0,2,0.381667,0.101379,1153,4429,5582,
709,4,0,0,2,0.384167,0.157975,441,2787,3228,
710,4,1,1,2,0.435833,0.190308,329,4841,5170,
711,4,2,1,2,0.353333,0.296037,282,5219,5501,
712,4,3,1,2,0.2975,0.162937,310,5009,5319,
713,4,4,1,1,0.295833,0.174129,425,5107,5532,
714,4,5,1,1,0.281667,0.131229,429,5182,5611,
715,4,6,0,1,0.324167,0.10635,767,4280,5047,
716,4,0,0,2,0.3625,0.100742,538,3248,3786,
717,4,1,1,2,0.393333,0.0982583,212,4373,4585,
718,4,2,1,1,0.410833,0.221404,433,5124,5557,
719,4,3,1,1,0.3325,0.184092,333,4934,5267,
720,4,4,1,2,0.33,0.132463,314,3814,4128,
721,1,5,1,2,0.326667,0.374383,221,3402,3623,
722,1,6,0,1,0.265833,0.407346,205,1544,1749,
723,1,0,0,1,0.245833,0.133083,408,1379,1787,
724,1,1,1,2,0.231304,0.0772304,174,746,920,
725,1,2,0,2,0.291304,0.168726,440,573,1013,
726,1,3,1,3,0.243333,0.316546,9,432,441,
727,1,4,1,2,0.254167,0.350133,247,1867,2114,
728,1,5,1,2,0.253333,0.155471,644,2451,3095,
729,1,6,0,2,0.253333,0.124383,159,1182,1341,
730,1,0,0,1,0.255833,0.350754,364,1432,1796,
731,1,1,1,2,0.215833,0.154846,439,2290,2729,2012
